id,tecnica,origem_pmbok,polaridade,pergunta_disparo,padrao_saida,serve_para,esforco
T01,Pré-mortem,Premortem / retrospectiva prospectiva,ameaca,"Estamos 6 meses à frente e o projeto fracassou de forma acachapante. Escreva a manchete. O que deu errado?",cenário de falha → causas → prevenção,projeto novo|go-live|marco crítico,baixo
T02,Auditoria de Premissas,Análise de premissas e restrições,ambas,"Liste tudo que este plano assume como verdade sem ter verificado. Qual delas, se falsa, derruba o plano?",listar → avaliar confiança e impacto → estressar a mais fraca → reforçar,plano recém-feito|estimativa|cronograma,baixo
T03,Lista de Categorias (EAR),Prompt list / Estrutura Analítica dos Riscos,ambas,"Percorra as categorias uma a uma: técnico, externo, organizacional, gerência de projeto, dados, pessoas, legal. O que aparece em cada uma?",categorias → riscos → mitigações,varredura inicial|checagem de cobertura,baixo
T04,Análise de Modos de Falha,FMEA simplificado,ameaca,"Componente por componente: de quantas formas diferentes esta parte pode falhar?",componentes → falhas → prevenção,sistema com partes|integração|infraestrutura,medio
T05,Falha em Cascata,Análise de causa-raiz e dependências,ameaca,"Suponha que esta peça falhou. Rastreie: o que quebra em seguida? E depois disso?",disparar falha → rastrear propagação → achar amplificadores → desacoplar,dependências|fornecedores|arquitetura acoplada,medio
T06,Advogado do Diabo,Facilitação adversarial,ameaca,"Assuma que este plano é ruim e você precisa provar. Qual é o argumento mais forte contra?",premissas → contestações → fortalecimento,decisão travada|consenso rápido demais|groupthink,baixo
T07,Cenários de Ruptura,Teste de resiliência,ameaca,"Escolha algo que 'nunca falha' e quebre de propósito. O que acontece? Quanto tempo até perceber?",quebrar → observar → endurecer,operação crítica|continuidade|plano B,medio
T08,SWOT,Análise SWOT,ambas,"Forças e fraquezas internas; ameaças e oportunidades externas. Cruze: que fraqueza é exposta por qual ameaça? Que força captura qual oportunidade?",forças/fraquezas/oportunidades/ameaças → cruzamentos → riscos,início de projeto|planejamento estratégico,baixo
T09,Entrevista Estruturada,Entrevistas,ambas,"Pergunte a quem já viveu isso: o que te surpreendeu da última vez? O que você faria diferente?",papel → experiência → risco tácito,conhecimento disperso|especialista disponível,medio
T10,Análise de Documentos,Análise de documentos,ambas,"Leia contratos, atas, lições aprendidas e status anteriores procurando promessa vaga, prazo sem folga e premissa não declarada.",documento → trecho suspeito → risco,projeto com histórico|contrato assinado,medio
T11,Delphi,Técnica Delphi,ambas,"Colete opiniões de especialistas em rodadas anônimas, mostre o resumo, e repita até convergir.",rodada → convergência → risco consensual,grupo com hierarquia|opiniões divergentes,alto
T12,Caça à Oportunidade,Identificação de riscos positivos,oportunidade,"Onde uma coisa boa pode acontecer se a gente se preparar? Que folga, ativo ou tendência ainda não estamos aproveitando?",folga/ativo/tendência → oportunidade → como explorar,portfólio|negociação|projeto com folga,baixo
